id_cliente,razao_social,cnpj,porte_empresa,setor,cidade,estado,data_cadastro
CLI0038,Atacado Medicamentos Saúde,40.233.229/0001-42,ME,Indústria,Rondonópolis,MT,2023-12-09
CLI0039,Indústria Móveis Madeira Nobre,22.917.953/0001-28,Grande,Construção,Rondonópolis,MT,2023-07-11
CLI0040,Rede Supermercados Regional,11.752.547/0001-82,MEI,Indústria,Rondonópolis,MT,2023-12-02
CLI0041,Distribuidora Bebidas MT,12.211.359/0001-67,MEI,Comércio,Várzea Grande,MT,2023-02-14
CLI0042,Indústria Plásticos Recicláveis,46.651.923/0001-77,EPP,Indústria,Sinop,MT,2023-11-12
CLI0043,Transportes Cargas Pesadas,18.534.925/0001-21,EPP,Comércio,Cuiabá,MT,2023-10-17
CLI0044,Comércio Eletrônicos Varejo,29.718.911/0001-12,Grande,Comércio,Tangará da Serra,MT,2024-01-26
CLI0045,Indústria Alimentos Orgânicos,90.716.569/0001-28,Médio,Comércio,Várzea Grande,MT,2023-03-11
CLI0046,Atacado Material Construção,29.629.289/0001-84,EPP,Serviços,Várzea Grande,MT,2024-05-07
CLI0047,Empresa Tecnologia Software,57.346.118/0001-91,ME,Agronegócio,Várzea Grande,MT,2023-03-04
CLI0048,Clínica Médica Especializada,76.843.560/0001-94,MEI,Indústria,Cuiabá,MT,2024-04-01
CLI0049,Indústria Cosméticos Naturais,55.915.684/0001-18,MEI,Construção,Cuiabá,MT,2024-08-27
CLI0050,Distribuidora Produtos Limpeza,24.882.468/0001-81,MEI,Indústria,Cuiabá,MT,2024-02-27
