id_analise|cliente_id|tipo_tributo|periodo_analise|valor_identificado|observacoes
ANLS00053|CLI0005|ICMS|2023-07|324157.09|Requer análise mais detalhada da documentação
ANLS00054|CLI0002|PIS|2024-02|285734.48|Oportunidade de redução de carga tributária
ANLS00055|CLI0004|ISS|2023-02|347815.77|Requer análise mais detalhada da documentação
ANLS00056|CLI0021|COFINS|2023-09|295535.42|Oportunidade de redução de carga tributária
ANLS00057|CLI0016|CSLL|2024-Q2|64129.95|Possível recuperação através de compensação
ANLS00058|CLI0025|PIS|2024-S1|438462.85|Divergência entre declarado e devido
ANLS00059|CLI0002|IPI|2024-10|25592.1|Divergência entre declarado e devido
ANLS00060|CLI0025|ICMS|2023-S1|84936.74|Identificado crédito não aproveitado
ANLS00061|CLI0041|CSLL|2024-Q3|252842.3|Divergência entre declarado e devido
ANLS00062|CLI0024|ISS|2023-Q4|123690.75|Identificado crédito não aproveitado
ANLS00063|CLI0028|CSLL|2024-Q1|263637.28|Divergência entre declarado e devido
ANLS00064|CLI0031|PIS|2024-S2|155564.32|Requer análise mais detalhada da documentação
ANLS00065|CLI0011|IRPJ|2024-Q1|142060.79|Requer análise mais detalhada da documentação
ANLS00066|CLI0007|CSLL|2023-12|455185.78|Divergência entre declarado e devido
ANLS00067|CLI0027|IPI|2024-S1|309662.02|Necessário ajuste nas próximas declarações
ANLS00068|CLI0008|COFINS|2024-03|92225.88|Necessário ajuste nas próximas declarações
ANLS00069|CLI0034|IPI|2023-09|398595.15|Necessário ajuste nas próximas declarações
ANLS00070|CLI0044|PIS|2024-03|201981.49|Identificado crédito não aproveitado
ANLS00071|CLI0009|ISS|2023-S1|224685.47|Possível recuperação através de compensação
ANLS00072|CLI0019|PIS|2023-02|340253.4|Possível recuperação através de compensação
ANLS00073|CLI0006|IRPJ|2023-11|462750.08|Crédito confirmado após auditoria
ANLS00074|CLI0034|PIS|2023-S1|114376.21|Possível recuperação através de compensação
ANLS00075|CLI0014|IRPJ|2024-Q2|287501.92|Identificado crédito não aproveitado
ANLS00076|CLI0037|PIS|2023-S2|416958.41|Benefício fiscal não aplicado corretamente
ANLS00077|CLI0017|IRPJ|2023-Q4|257468.74|Necessário ajuste nas próximas declarações
ANLS00078|CLI0042|ICMS|2024-05|355390.63|Crédito confirmado após auditoria
ANLS00079|CLI0045|CSLL|2024-10|37471.72|Possível recuperação através de compensação
ANLS00080|CLI0040|COFINS|2024-Q1|79282.63|Requer análise mais detalhada da documentação
ANLS00081|CLI0006|ISS|2023-02|135350.28|Divergência entre declarado e devido
ANLS00082|CLI0027|IPI|2024-S1|224214.25|Necessário ajuste nas próximas declarações
ANLS00083|CLI0012|ISS|2023-04|34395.06|Necessário ajuste nas próximas declarações
ANLS00084|CLI0003|IRPJ|2023-11|238310.97|Crédito confirmado após auditoria
ANLS00085|CLI0003|IPI|2024-Q4|30761.42|Benefício fiscal não aplicado corretamente
ANLS00086|CLI0018|IRPJ|2023-S2|145392.48|Requer análise mais detalhada da documentação
ANLS00087|CLI0004|ISS|2024-S2|267694.33|Oportunidade de redução de carga tributária
ANLS00088|CLI0040|ICMS|2023-10|190736.9|Oportunidade de redução de carga tributária
ANLS00089|CLI0036|PIS|2024-S2|307615.71|Requer análise mais detalhada da documentação
ANLS00090|CLI0009|ICMS|2023-S1|324241.79|Requer análise mais detalhada da documentação
ANLS00091|CLI0031|PIS|2023-S2|417843.67|Oportunidade de redução de carga tributária
ANLS00092|CLI0004|CSLL|2024-02|167972.14|Identificado crédito não aproveitado
ANLS00093|CLI0036|COFINS|2024-S1|304575.56|Requer análise mais detalhada da documentação
ANLS00094|CLI0045|ISS|2024-06|166043.21|Necessário ajuste nas próximas declarações
ANLS00095|CLI0046|PIS|2023-Q3|28287.25|Crédito confirmado após auditoria
ANLS00096|CLI0043|ISS|2024-S2|87317.36|Necessário ajuste nas próximas declarações
ANLS00097|CLI0016|IRPJ|2023-08|436408.66|Oportunidade de redução de carga tributária
ANLS00098|CLI0014|CSLL|2024-S2|142917.44|Necessário ajuste nas próximas declarações
ANLS00099|CLI0013|ICMS|2023-S2|12378.92|Possível recuperação através de compensação
ANLS00100|CLI0035|CSLL|2023-S1|224989.68|Benefício fiscal não aplicado corretamente
